gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_bucket,services_count,monthly_to_total_ratio,flag_internet_no_tech_support,flag_fiber_high_charges,flag_short_tenure_monthly,expected_tenure,CLV,CLV_quartile,Churn
1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,401.85,1,1,1.1106965174129353,0,0,0,24,482.40000000000003,Low,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,3,5,0.94995544995545,1,1,1,12,1154.4,High,0
1,0,0,0,52,1,2,1,2,0,2,2,2,2,2,1,2,109.3,5731.4,2,8,1.008410162573017,0,1,0,24,2623.2,Premium,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,2,1,1.0102429988013513,0,0,0,24,478.79999999999995,Low,0
1,1,1,0,40,1,2,1,2,0,0,0,2,2,0,0,2,101.85,4086.3,2,6,1.003019145802651,1,1,0,12,1222.1999999999998,High,1
1,0,1,0,10,1,2,1,0,0,2,0,2,2,0,1,2,98.5,1037.75,3,6,1.0535532994923857,1,1,1,12,1182.0,High,1
0,0,0,0,30,1,2,1,2,0,0,2,2,2,0,0,0,106.4,3211.9,2,7,1.006234335839599,0,1,0,12,1276.8000000000002,High,0
1,0,0,0,19,1,0,0,0,0,2,2,0,0,0,1,1,55.0,1046.5,1,4,1.0014354066985647,0,0,0,12,660.0,Medium,1
1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,3,78.85,1600.25,1,4,0.9224938029630485,1,0,0,12,946.1999999999999,Medium,0
0,0,0,0,8,1,0,2,1,1,1,1,1,1,1,1,3,19.2,161.95,3,1,1.0543619791666667,0,0,0,24,460.79999999999995,Low,0
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,89.55,6448.85,2,9,1.0001938705875055,0,0,0,24,2149.2,Premium,0
0,0,1,1,62,1,0,0,2,0,2,2,2,0,1,1,0,70.75,4263.45,2,6,0.9719480223412743,0,0,0,24,1698.0,Premium,0
0,1,0,0,35,1,2,1,2,0,0,0,2,2,0,1,2,99.05,3554.6,2,6,1.0253407370015144,1,1,0,12,1188.6,High,0
0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,1,71.0,914.0,1,2,0.9195171026156942,1,0,0,12,852.0,Medium,1
0,0,0,0,15,1,0,2,1,1,1,1,1,1,1,0,1,20.1,302.45,1,1,1.003150912106136,0,0,0,24,482.40000000000003,Low,0
1,0,1,0,9,1,0,1,0,2,2,0,0,0,0,1,2,79.9,741.7,3,4,1.031428174106522,1,0,1,12,958.8000000000001,Medium,1
0,0,0,0,56,1,2,1,2,2,0,0,2,2,0,1,1,106.6,5893.95,2,7,0.9873274591262396,1,1,0,12,1279.1999999999998,High,0
1,0,1,1,10,1,0,2,1,1,1,1,1,1,0,1,1,20.05,218.5,3,1,1.0897755610972568,0,0,1,12,240.60000000000002,Low,0
0,0,0,1,50,1,0,1,0,0,0,0,0,0,2,0,1,70.35,3533.6,2,2,1.0045771144278608,1,0,0,24,1688.3999999999999,Premium,0
1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,0,101.35,2317.1,1,6,1.0391980983988878,1,1,0,12,1216.1999999999998,High,1
0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,633.85,3,3,0.936539598108747,1,0,1,12,902.4000000000001,Medium,0
1,0,1,1,28,1,0,1,0,0,2,0,2,0,0,0,2,85.45,2289.9,2,4,0.9570759842848785,1,0,0,12,1025.4,High,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,20.35,176.3,3,1,0.8663390663390664,0,0,0,24,488.40000000000003,Low,0
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.1,69.1,0,2,1.0,1,0,1,12,829.1999999999999,Medium,1
1,0,0,0,58,1,0,0,0,2,2,2,2,0,2,0,0,70.1,4048.95,2,6,0.9958556741600669,0,0,0,24,1682.3999999999999,Premium,0
0,0,1,0,62,1,0,1,2,0,2,2,2,2,1,1,2,104.3,6613.65,2,7,1.0227399251538676,0,1,0,24,2503.2,Premium,0
1,1,0,0,5,1,0,1,0,0,0,0,2,2,0,1,2,91.4,449.75,0,4,0.9841356673960613,1,1,1,12,1096.8000000000002,High,1
1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,1,5,1.0317086234600965,1,1,0,12,1120.1999999999998,High,1
0,0,1,1,72,1,2,0,0,2,0,2,2,2,2,1,2,78.95,5730.15,2,7,1.0080483428330165,0,0,0,24,1894.8000000000002,Premium,0
1,1,0,0,12,0,1,0,0,2,0,0,0,0,0,1,1,29.35,381.2,3,2,1.0823395797842132,1,0,1,12,352.20000000000005,Low,0
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,69.8,134.7,0,2,0.9648997134670486,1,0,1,12,837.5999999999999,Medium,1
0,0,1,1,4,1,0,1,0,0,0,0,0,2,0,0,2,80.85,302.75,0,3,0.9361471861471862,1,0,1,12,970.1999999999999,High,1
0,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,0,20.25,717.95,2,1,0.9848422496570646,0,0,0,24,486.0,Low,0
1,1,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.0,1501.75,2,2,0.9847540983606557,0,0,0,24,600.0,Medium,0
1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,1,4,0.9665109034267912,1,0,0,12,963.0,Medium,1
1,0,1,0,55,1,2,2,1,1,1,1,1,1,2,0,0,25.7,1443.65,2,2,1.0213300318358685,0,0,0,24,616.8,Medium,0
1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,106.3,7565.35,2,7,0.9884694784153863,1,1,0,24,2551.2,Premium,0
0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.45,55.45,0,3,1.0,1,0,1,12,665.4000000000001,Medium,0
0,1,0,0,21,1,2,1,0,0,0,0,2,2,0,1,2,94.25,1973.75,1,5,0.9972211696349628,1,1,0,12,1131.0,High,1
1,0,1,0,18,1,2,1,0,0,0,0,2,2,0,1,2,94.7,1687.95,1,5,0.9902323125659979,1,1,0,12,1136.4,High,1
0,0,1,0,45,1,0,0,0,0,2,0,0,0,0,1,1,50.25,2221.55,2,3,0.9824433388612493,1,0,0,12,603.0,Medium,0
1,1,1,0,72,0,1,0,2,2,2,2,2,2,2,1,1,64.95,4546.0,2,7,0.9721153023693438,0,0,0,24,1558.8000000000002,Premium,0
1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,43.9,278.4,3,2,0.9059550927432475,1,0,1,12,526.8,Low,0
1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,733.35,1,3,0.9734519147806464,1,0,0,12,475.79999999999995,Low,1
1,0,0,1,7,1,0,2,1,1,1,1,1,1,1,0,3,19.45,136.75,3,1,1.0044069041498347,0,0,0,24,466.79999999999995,Low,0
0,0,1,1,59,1,2,0,0,0,2,2,2,0,2,1,0,72.1,4194.85,2,6,0.9861186205599569,0,0,0,24,1730.3999999999999,Premium,0
0,0,0,0,39,0,1,0,2,2,0,2,0,0,1,0,0,41.15,1700.9,2,4,1.0598498302021997,0,0,0,24,987.5999999999999,High,0
1,0,1,1,42,1,2,1,2,0,0,0,2,2,1,0,2,97.1,4016.75,2,6,0.984932077877495,1,1,0,24,2330.3999999999996,Premium,0
1,0,0,0,4,1,0,0,0,0,0,0,2,0,0,1,2,56.4,234.85,0,3,1.0410017730496455,1,0,1,12,676.8,Medium,0
1,0,1,1,6,1,0,1,0,0,0,0,0,0,0,1,2,69.8,377.85,0,2,0.902220630372493,1,0,1,12,837.5999999999999,Medium,0
1,0,1,1,63,1,0,2,1,1,1,1,1,1,2,1,3,19.15,1177.05,2,1,0.9756309834638818,0,0,0,24,459.59999999999997,Low,0
0,1,0,0,38,1,0,0,2,2,0,0,0,0,0,1,1,57.15,2250.65,2,4,1.0363540083805316,1,0,0,12,685.8,Medium,1
1,0,0,0,38,1,2,0,2,2,2,2,0,0,0,0,2,69.95,2657.55,2,7,0.9997930852864829,0,0,0,12,839.4000000000001,Medium,0
1,1,1,0,35,1,2,1,2,2,0,0,0,2,0,1,2,94.55,3365.4,2,6,1.016967590843847,1,1,0,12,1134.6,High,0
1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,0,20.4,609.1,2,1,0.9631562302340292,0,0,0,24,489.59999999999997,Low,0
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.8,246.3,0,3,1.08311345646438,1,0,1,12,909.5999999999999,Medium,1
1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,3,33.6,33.6,0,3,1.0,0,0,1,12,403.20000000000005,Low,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2545.75,2,7,1.0119650984834934,0,0,0,24,1947.6000000000001,Premium,0
1,0,0,0,54,1,0,2,1,1,1,1,1,1,2,0,3,20.0,1149.65,2,1,1.064490740740741,0,0,0,24,480.0,Low,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,46.05,80.35,0,2,0.8724212812160694,1,0,1,12,552.5999999999999,Low,1
